split,label,class_name,train_images,test_images,total_images
AID_20,0,Airport,72,288,360
AID_20,1,BareLand,62,248,310
AID_20,2,BaseballField,44,176,220
AID_20,3,Beach,80,320,400
AID_20,4,Bridge,72,288,360
AID_20,5,Center,52,208,260
AID_20,6,Church,48,192,240
AID_20,7,Commercial,70,280,350
AID_20,8,DenseResidential,82,328,410
AID_20,9,Desert,60,240,300
AID_20,10,Farmland,74,296,370
AID_20,11,Forest,50,200,250
AID_20,12,Industrial,78,312,390
AID_20,13,Meadow,56,224,280
AID_20,14,MediumResidential,58,232,290
AID_20,15,Mountain,68,272,340
AID_20,16,Park,70,280,350
AID_20,17,Parking,78,312,390
AID_20,18,Playground,74,296,370
AID_20,19,Pond,84,336,420
AID_20,20,Port,76,304,380
AID_20,21,RailwayStation,52,208,260
AID_20,22,Resort,58,232,290
AID_20,23,River,67,270,337
AID_20,24,School,60,240,300
AID_20,25,SparseResidential,60,240,300
AID_20,26,Square,66,264,330
AID_20,27,Stadium,58,232,290
AID_20,28,StorageTanks,72,288,360
AID_20,29,Viaduct,84,336,420
AID_50,0,Airport,180,180,360
AID_50,1,BareLand,155,155,310
AID_50,2,BaseballField,110,110,220
AID_50,3,Beach,200,200,400
AID_50,4,Bridge,180,180,360
AID_50,5,Center,130,130,260
AID_50,6,Church,120,120,240
AID_50,7,Commercial,175,175,350
AID_50,8,DenseResidential,205,205,410
AID_50,9,Desert,150,150,300
AID_50,10,Farmland,185,185,370
AID_50,11,Forest,125,125,250
AID_50,12,Industrial,195,195,390
AID_50,13,Meadow,140,140,280
AID_50,14,MediumResidential,145,145,290
AID_50,15,Mountain,170,170,340
AID_50,16,Park,175,175,350
AID_50,17,Parking,195,195,390
AID_50,18,Playground,185,185,370
AID_50,19,Pond,210,210,420
AID_50,20,Port,190,190,380
AID_50,21,RailwayStation,130,130,260
AID_50,22,Resort,145,145,290
AID_50,23,River,168,169,337
AID_50,24,School,150,150,300
AID_50,25,SparseResidential,150,150,300
AID_50,26,Square,165,165,330
AID_50,27,Stadium,145,145,290
AID_50,28,StorageTanks,180,180,360
AID_50,29,Viaduct,210,210,420
NWPU45_10,0,airplane,70,630,700
NWPU45_10,1,airport,70,630,700
NWPU45_10,2,baseball_diamond,70,630,700
NWPU45_10,3,basketball_court,70,630,700
NWPU45_10,4,beach,70,630,700
NWPU45_10,5,bridge,70,630,700
NWPU45_10,6,chaparral,70,630,700
NWPU45_10,7,church,70,630,700
NWPU45_10,8,circular_farmland,70,630,700
NWPU45_10,9,cloud,70,630,700
NWPU45_10,10,commercial_area,70,630,700
NWPU45_10,11,dense_residential,70,630,700
NWPU45_10,12,desert,70,630,700
NWPU45_10,13,forest,70,630,700
NWPU45_10,14,freeway,70,630,700
