true\pred,Airport,BareLand,BaseballField,Beach,Bridge,Center,Church,Commercial,DenseResidential,Desert,Farmland,Forest,Industrial,Meadow,MediumResidential,Mountain,Park,Parking,Playground,Pond,Port,RailwayStation,Resort,River,School,SparseResidential,Square,Stadium,StorageTanks,Viaduct
Airport,174,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0
BareLand,0,152,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BaseballField,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Beach,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bridge,0,0,0,0,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Center,0,0,0,0,0,122,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
Church,0,0,0,0,0,2,115,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Commercial,0,0,0,0,0,0,0,172,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
DenseResidential,0,0,0,0,0,0,1,2,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Desert,0,1,0,0,0,0,0,0,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Farmland,0,0,0,0,0,0,0,0,0,0,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Forest,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Industrial,0,0,0,0,0,2,0,1,2,0,0,0,187,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
Meadow,0,0,0,0,0,0,0,0,0,0,2,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MediumResidential,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mountain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Park,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,0,0,1,0,0,4,0,1,0,3,0,0,0
Parking,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,0,0,0,0,0,0,0,0,0,0,0,0
Playground,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,1,0,0,0,0,0,0,0,0,0,0
Pond,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,208,0,0,0,0,0,0,0,0,0,0
Port,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0,0,0,0,0,0,0,0,0
RailwayStation,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,126,0,0,0,0,0,0,0,0
Resort,0,0,0,0,0,0,2,1,1,0,0,0,0,0,1,0,7,0,0,3,1,0,123,0,4,0,1,0,1,0
River,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,168,0,0,0,0,0,0
School,0,0,0,0,0,0,0,4,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,140,0,2,1,0,0
SparseResidential,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,0,0,1,0
Square,1,0,0,0,0,4,2,2,0,0,0,0,0,0,1,0,2,0,1,0,0,0,1,0,2,0,148,1,0,0
Stadium,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,143,0,0
StorageTanks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0
Viaduct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210
