true\pred,airplane,airport,baseball_diamond,basketball_court,beach,bridge,chaparral,church,circular_farmland,cloud,commercial_area,dense_residential,desert,forest,freeway,golf_course,ground_track_field,harbor,industrial_area,intersection,island,lake,meadow,medium_residential,mobile_home_park,mountain,overpass,palace,parking_lot,railway,railway_station,rectangular_farmland,river,roundabout,runway,sea_ice,ship,snowberg,sparse_residential,stadium,storage_tank,tennis_court,terrace,thermal_power_station,wetland
airplane,547,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,4,0,0,0,0,0,1,0,0,1,0
airport,1,537,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,13,0,1,0,0,0,0,0,0,1,0
baseball_diamond,0,0,548,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,1,1,0,0,0
basketball_court,0,0,0,551,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
beach,0,0,0,0,549,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,2,0,0,0,1,1,0,0,0,0,1,0,1
bridge,0,0,1,0,0,532,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,1,0,0,0,0,12,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,1,0,0
chaparral,0,0,0,0,0,0,560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
church,0,0,0,1,0,0,0,473,0,0,19,3,0,0,1,0,0,0,1,2,0,0,0,2,0,0,0,50,1,0,0,0,0,0,0,0,0,0,1,0,1,3,0,2,0
circular_farmland,0,0,1,0,0,0,0,0,550,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0
cloud,0,0,0,0,0,0,0,0,0,555,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0
commercial_area,0,0,0,1,0,1,0,7,0,0,518,3,0,0,0,0,0,1,2,4,0,0,0,0,0,0,1,14,0,0,2,0,0,0,0,0,0,0,0,2,0,0,3,1,0
dense_residential,0,0,0,0,0,0,0,1,0,0,3,520,0,0,1,0,0,3,0,2,0,0,0,16,8,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0
desert,0,0,1,0,1,0,0,0,0,1,0,0,537,0,0,0,0,0,0,0,0,1,0,0,0,14,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0
forest,0,0,1,0,0,0,2,0,0,0,0,0,0,525,4,0,0,0,0,0,2,0,9,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,1
freeway,0,0,0,0,0,2,0,0,0,0,0,0,0,0,526,0,0,0,1,7,0,0,2,2,0,0,9,0,1,2,3,0,0,0,2,0,0,0,1,0,0,0,2,0,0
golf_course,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,549,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1
ground_track_field,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,545,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,1,0,0,0
harbor,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,552,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
industrial_area,0,1,0,1,0,0,0,1,0,0,3,2,0,0,0,0,1,0,519,0,0,0,0,0,2,0,0,9,0,0,9,0,0,0,0,0,4,0,0,0,2,0,0,6,0
intersection,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,553,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
island,0,0,1,0,3,2,0,0,0,3,0,0,0,0,0,1,0,0,0,0,536,1,0,0,0,0,0,0,0,0,0,0,4,0,0,2,6,0,0,0,0,0,1,0,0
lake,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,525,0,0,0,0,0,0,0,0,0,1,8,0,0,1,0,2,0,1,0,0,1,0,18
meadow,0,0,2,1,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,1,534,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,2,0,2,0,5,0,3
medium_residential,0,0,0,0,0,0,0,0,0,0,1,25,0,0,0,0,0,0,2,2,0,0,0,510,4,0,0,1,0,1,0,0,0,4,0,0,0,0,5,0,0,5,0,0,0
mobile_home_park,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,5,1,1,0,0,0,3,546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mountain,0,0,0,0,0,0,0,0,0,0,0,0,21,4,0,0,0,0,0,0,0,2,1,0,0,522,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,2,0,1
overpass,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,3,0,0,0,0,0,0,547,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
palace,0,2,1,2,0,0,0,70,0,0,9,1,0,0,0,0,1,1,4,1,0,0,0,5,0,0,0,441,2,0,3,0,1,1,0,0,1,0,1,6,1,4,1,1,0
parking_lot,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,3,3,0,0,0,0,0,0,0,0,547,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
railway,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,5,0,0,0,0,0,0,0,1,0,1,514,22,0,0,0,2,0,0,0,0,0,1,0,1,0,0
railway_station,0,2,0,0,0,1,0,1,0,0,5,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,3,1,0,30,503,0,0,0,0,0,0,0,0,2,1,0,1,0,0
rectangular_farmland,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,1,0,0,0,0,520,5,0,0,0,0,0,1,0,0,0,19,0,0
river,0,0,0,0,4,4,0,0,0,0,0,0,5,4,2,1,0,0,0,0,1,6,2,0,0,4,0,0,0,1,0,5,506,0,0,0,0,3,0,0,0,0,8,0,4
roundabout,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,1,0,0,2,0,0,0,2,0,0,546,0,0,0,0,0,2,0,1,0,0,0
runway,5,16,0,0,0,2,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,1,0,0,522,0,1,0,0,0,0,0,0,0,0
sea_ice,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550,0,1,0,0,0,0,0,0,0
ship,0,1,0,0,2,3,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,548,0,0,0,0,0,0,0,0
snowberg,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,556,0,0,0,0,0,0,0
sparse_residential,0,0,1,1,0,0,1,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,11,0,0,0,2,1,0,0,0,0,2,0,0,0,0,533,0,0,3,0,0,0
