true\pred,agricultural,airplane,baseballdiamond,beach,buildings,chaparral,denseresidential,forest,freeway,golfcourse,harbor,intersection,mediumresidential,mobilehomepark,overpass,parkinglot,river,runway,sparseresidential,storagetanks,tenniscourt
agricultural,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
airplane,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
baseballdiamond,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beach,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
buildings,0,0,0,0,19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
chaparral,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
denseresidential,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
forest,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
freeway,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
golfcourse,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
harbor,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
intersection,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0
mediumresidential,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0
mobilehomepark,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0
overpass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0
parkinglot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0
river,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0
runway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0
sparseresidential,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
storagetanks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
tenniscourt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
