true\pred,airplane,airport,baseball_diamond,basketball_court,beach,bridge,chaparral,church,circular_farmland,cloud,commercial_area,dense_residential,desert,forest,freeway,golf_course,ground_track_field,harbor,industrial_area,intersection,island,lake,meadow,medium_residential,mobile_home_park,mountain,overpass,palace,parking_lot,railway,railway_station,rectangular_farmland,river,roundabout,runway,sea_ice,ship,snowberg,sparse_residential,stadium,storage_tank,tennis_court,terrace,thermal_power_station,wetland
airplane,0.97678571,0.00000000,0.00000000,0.00178571,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00178571,0.00000000,0.00000000,0.00178571,0.00178571,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00178571,0.00357143,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00714286,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00178571,0.00000000,0.00000000,0.00178571,0.00000000
airport,0.00178571,0.95892857,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00178571,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00357143,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00535714,0.00000000,0.00000000,0.00178571,0.00000000,0.00000000,0.00000000,0.02321429,0.00000000,0.00178571,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00178571,0.00000000
baseball_diamond,0.00000000,0.00000000,0.97857143,0.00178571,0.00000000,0.00178571,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00178571,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00178571,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00178571,0.00892857,0.00178571,0.00178571,0.00000000,0.00000000,0.00000000
basketball_court,0.00000000,0.00000000,0.00000000,0.98392857,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00178571,0.00000000,0.00000000,0.00000000,0.00178571,0.00000000,0.00000000,0.00000000,0.00000000,0.00178571,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00178571,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00892857,0.00000000,0.00000000,0.00000000
beach,0.00000000,0.00000000,0.00000000,0.00000000,0.98035714,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00178571,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00178571,0.00000000,0.00000000,0.00000000,0.00357143,0.00000000,0.00178571,0.00000000,0.00000000,0.00000000,0.00000000,0.00357143,0.00000000,0.00000000,0.00000000,0.00178571,0.00178571,0.00000000,0.00000000,0.00000000,0.00000000,0.00178571,0.00000000,0.00178571
bridge,0.00000000,0.00000000,0.00178571,0.00000000,0.00000000,0.95000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00714286,0.00000000,0.00535714,0.00000000,0.00178571,0.00000000,0.00000000,0.00000000,0.00000000,0.02142857,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00357143,0.00000000,0.00000000,0.00000000,0.00714286,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00178571,0.00000000,0.00000000
chaparral,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
church,0.00000000,0.00000000,0.00000000,0.00178571,0.00000000,0.00000000,0.00000000,0.84464286,0.00000000,0.00000000,0.03392857,0.00535714,0.00000000,0.00000000,0.00178571,0.00000000,0.00000000,0.00000000,0.00178571,0.00357143,0.00000000,0.00000000,0.00000000,0.00357143,0.00000000,0.00000000,0.00000000,0.08928571,0.00178571,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00178571,0.00000000,0.00178571,0.00535714,0.00000000,0.00357143,0.00000000
circular_farmland,0.00000000,0.00000000,0.00178571,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.98214286,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00535714,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00714286,0.00357143,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
cloud,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.99107143,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00178571,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00178571,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00535714,0.00000000
commercial_area,0.00000000,0.00000000,0.00000000,0.00178571,0.00000000,0.00178571,0.00000000,0.01250000,0.00000000,0.00000000,0.92500000,0.00535714,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00178571,0.00357143,0.00714286,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00178571,0.02500000,0.00000000,0.00000000,0.00357143,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00357143,0.00000000,0.00000000,0.00535714,0.00178571,0.00000000
dense_residential,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00178571,0.00000000,0.00000000,0.00535714,0.92857143,0.00000000,0.00000000,0.00178571,0.00000000,0.00000000,0.00535714,0.00000000,0.00357143,0.00000000,0.00000000,0.00000000,0.02857143,0.01428571,0.00000000,0.00000000,0.00535714,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00178571,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00357143,0.00000000,0.00000000,0.00000000
desert,0.00000000,0.00000000,0.00178571,0.00000000,0.00178571,0.00000000,0.00000000,0.00000000,0.00000000,0.00178571,0.00000000,0.00000000,0.95892857,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00178571,0.00000000,0.00000000,0.00000000,0.02500000,0.00000000,0.00000000,0.00000000,0.00178571,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00178571,0.00000000,0.00357143,0.00000000,0.00000000,0.00000000,0.00000000,0.00178571,0.00000000,0.00000000
forest,0.00000000,0.00000000,0.00178571,0.00000000,0.00000000,0.00000000,0.00357143,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.93750000,0.00714286,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00357143,0.00000000,0.01607143,0.00178571,0.00000000,0.00178571,0.00000000,0.00178571,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.02321429,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00178571
freeway,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00357143,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.93928571,0.00000000,0.00000000,0.00000000,0.00178571,0.01250000,0.00000000,0.00000000,0.00357143,0.00357143,0.00000000,0.00000000,0.01607143,0.00000000,0.00178571,0.00357143,0.00535714,0.00000000,0.00000000,0.00000000,0.00357143,0.00000000,0.00000000,0.00000000,0.00178571,0.00000000,0.00000000,0.00000000,0.00357143,0.00000000,0.00000000
golf_course,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00178571,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.98035714,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01071429,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00178571,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00178571,0.00178571,0.00000000,0.00178571
ground_track_field,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.97321429,0.00000000,0.00357143,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00178571,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01964286,0.00000000,0.00178571,0.00000000,0.00000000,0.00000000
harbor,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00178571,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.98571429,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00178571,0.00000000,0.00000000,0.00000000,0.00178571,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00892857,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
industrial_area,0.00000000,0.00178571,0.00000000,0.00178571,0.00000000,0.00000000,0.00000000,0.00178571,0.00000000,0.00000000,0.00535714,0.00357143,0.00000000,0.00000000,0.00000000,0.00000000,0.00178571,0.00000000,0.92678571,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00357143,0.00000000,0.00000000,0.01607143,0.00000000,0.00000000,0.01607143,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00714286,0.00000000,0.00000000,0.00000000,0.00357143,0.00000000,0.00000000,0.01071429,0.00000000
intersection,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00178571,0.00000000,0.00000000,0.00000000,0.00178571,0.00000000,0.00000000,0.00178571,0.00000000,0.00000000,0.00000000,0.00178571,0.98750000,0.00000000,0.00000000,0.00000000,0.00178571,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00178571,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00178571,0.00000000,0.00000000,0.00000000
island,0.00000000,0.00000000,0.00178571,0.00000000,0.00535714,0.00357143,0.00000000,0.00000000,0.00000000,0.00535714,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00178571,0.00000000,0.00000000,0.00000000,0.00000000,0.95714286,0.00178571,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00714286,0.00000000,0.00000000,0.00357143,0.01071429,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00178571,0.00000000,0.00000000
lake,0.00000000,0.00000000,0.00000000,0.00000000,0.00178571,0.00000000,0.00000000,0.00000000,0.00178571,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00178571,0.93750000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00178571,0.01428571,0.00000000,0.00000000,0.00178571,0.00000000,0.00357143,0.00000000,0.00178571,0.00000000,0.00000000,0.00178571,0.00000000,0.03214286
meadow,0.00000000,0.00000000,0.00357143,0.00178571,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00714286,0.00178571,0.00178571,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00178571,0.95357143,0.00000000,0.00000000,0.00178571,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00357143,0.00000000,0.00000000,0.00000000,0.00000000,0.00178571,0.00000000,0.00357143,0.00000000,0.00357143,0.00000000,0.00892857,0.00000000,0.00535714
