class_index,class_name,correct,total,accuracy,accuracy_percent
0,Airport,174,180,0.9666666666666667,96.66666666666667
1,BareLand,152,155,0.9806451612903225,98.06451612903226
2,BaseballField,109,110,0.990909090909091,99.0909090909091
3,Beach,200,200,1.0,100.0
4,Bridge,179,180,0.9944444444444445,99.44444444444444
5,Center,122,130,0.9384615384615385,93.84615384615384
6,Church,115,120,0.9583333333333334,95.83333333333334
7,Commercial,172,175,0.9828571428571429,98.28571428571429
8,DenseResidential,201,205,0.9804878048780488,98.04878048780488
9,Desert,149,150,0.9933333333333333,99.33333333333333
10,Farmland,185,185,1.0,100.0
11,Forest,125,125,1.0,100.0
12,Industrial,187,195,0.958974358974359,95.8974358974359
13,Meadow,138,140,0.9857142857142858,98.57142857142858
14,MediumResidential,145,145,1.0,100.0
15,Mountain,170,170,1.0,100.0
16,Park,165,175,0.9428571428571428,94.28571428571428
17,Parking,195,195,1.0,100.0
18,Playground,184,185,0.9945945945945946,99.45945945945947
19,Pond,208,210,0.9904761904761905,99.04761904761905
20,Port,190,190,1.0,100.0
21,RailwayStation,126,130,0.9692307692307692,96.92307692307692
22,Resort,123,145,0.8482758620689655,84.82758620689656
23,River,168,169,0.9940828402366864,99.40828402366864
24,School,140,150,0.9333333333333333,93.33333333333333
25,SparseResidential,149,150,0.9933333333333333,99.33333333333333
26,Square,148,165,0.896969696969697,89.6969696969697
27,Stadium,143,145,0.9862068965517241,98.62068965517241
28,StorageTanks,180,180,1.0,100.0
29,Viaduct,210,210,1.0,100.0
