class_index,class_name,correct,total,accuracy,accuracy_percent
0,agricultural,20,20,1.0,100.0
1,airplane,20,20,1.0,100.0
2,baseballdiamond,20,20,1.0,100.0
3,beach,20,20,1.0,100.0
4,buildings,19,20,0.95,95.0
5,chaparral,20,20,1.0,100.0
6,denseresidential,20,20,1.0,100.0
7,forest,20,20,1.0,100.0
8,freeway,20,20,1.0,100.0
9,golfcourse,20,20,1.0,100.0
10,harbor,20,20,1.0,100.0
11,intersection,20,20,1.0,100.0
12,mediumresidential,20,20,1.0,100.0
13,mobilehomepark,20,20,1.0,100.0
14,overpass,20,20,1.0,100.0
15,parkinglot,20,20,1.0,100.0
16,river,20,20,1.0,100.0
17,runway,20,20,1.0,100.0
18,sparseresidential,20,20,1.0,100.0
19,storagetanks,20,20,1.0,100.0
20,tenniscourt,20,20,1.0,100.0
