true_class,pred_class,count,rate,rate_percent
Resort,Park,7,0.04827586206896552,4.827586206896552
Center,Square,5,0.038461538461538464,3.8461538461538463
Resort,School,4,0.027586206896551724,2.7586206896551726
School,Commercial,4,0.02666666666666667,2.666666666666667
Square,Center,4,0.024242424242424242,2.4242424242424243
Park,Resort,4,0.022857142857142857,2.2857142857142856
Resort,Pond,3,0.020689655172413793,2.0689655172413794
BareLand,Desert,3,0.01935483870967742,1.935483870967742
Park,Square,3,0.017142857142857144,1.7142857142857144
Church,Center,2,0.016666666666666666,1.6666666666666667
Church,Commercial,2,0.016666666666666666,1.6666666666666667
Center,Church,2,0.015384615384615385,1.5384615384615385
RailwayStation,Center,2,0.015384615384615385,1.5384615384615385
Meadow,Farmland,2,0.014285714285714285,1.4285714285714286
Resort,Church,2,0.013793103448275862,1.3793103448275863
School,Square,2,0.013333333333333334,1.3333333333333335
Square,Church,2,0.012121212121212121,1.2121212121212122
Square,Commercial,2,0.012121212121212121,1.2121212121212122
Square,Park,2,0.012121212121212121,1.2121212121212122
Square,School,2,0.012121212121212121,1.2121212121212122
