true_class,pred_class,count,rate,rate_percent
palace,church,70,0.125,12.5
church,palace,50,0.08928571428571429,8.928571428571429
terrace,rectangular_farmland,37,0.06607142857142857,6.607142857142858
railway_station,railway,30,0.05357142857142857,5.357142857142857
medium_residential,dense_residential,25,0.044642857142857144,4.464285714285714
wetland,lake,24,0.04285714285714286,4.285714285714286
railway,railway_station,22,0.039285714285714285,3.9285714285714284
mountain,desert,21,0.0375,3.75
church,commercial_area,19,0.033928571428571426,3.392857142857143
rectangular_farmland,terrace,19,0.033928571428571426,3.392857142857143
lake,wetland,18,0.03214285714285714,3.214285714285714
dense_residential,medium_residential,16,0.02857142857142857,2.857142857142857
runway,airport,16,0.02857142857142857,2.857142857142857
commercial_area,palace,14,0.025,2.5
desert,mountain,14,0.025,2.5
airport,runway,13,0.023214285714285715,2.3214285714285716
forest,sparse_residential,13,0.023214285714285715,2.3214285714285716
thermal_power_station,industrial_area,13,0.023214285714285715,2.3214285714285716
bridge,overpass,12,0.02142857142857143,2.142857142857143
ground_track_field,stadium,11,0.019642857142857142,1.9642857142857142
